# bin=70 r=1000 t=9 
#energy -0.060061 0.783213
45.81 44.4665 28.3243
46.01 44.4158 28.2635
46.21 44.3634 28.1945
46.41 44.3106 28.1234
46.61 44.2574 28.0514
46.81 44.2036 27.979
47.01 44.1492 27.9066
47.21 44.0943 27.8345
47.41 44.039 27.7631
47.61 43.9835 27.6923
47.81 43.928 27.6224
48.01 43.8726 27.5531
48.21 43.8188 27.4873
48.41 43.765 27.4186
48.61 43.7112 27.35
48.81 43.6573 27.2817
49.01 43.6034 27.2135
49.21 43.5492 27.1456
49.41 43.4948 27.078
49.61 43.44 27.0107
49.81 43.3849 26.9438
