# bin = 20 r=1000 t=9             
# energy = 0.070385 0.245576
40.21 46.3645 25.4746
40.41 46.3032 25.3958
40.61 46.2435 25.319
40.81 46.1868 25.2424
41.01 46.1328 25.1637
41.21 46.0799 25.079
41.41 45.8856 25.5473
41.61 45.9592 24.9379
41.81 45.8986 24.8537
42.01 45.8361 24.7757
42.21 45.7744 24.7013
42.41 45.7146 24.6287
42.61 45.6568 24.5565
42.81 45.6002 24.4839
43.01 45.5436 24.4106
43.21 45.4863 24.3372
43.41 45.4282 24.2644
43.61 45.3688 24.1947
43.81 45.3123 24.1238
44.01 45.2559 24.0527
44.21 45.1989 23.9815
44.41 45.1411 23.9106
44.61 45.0823 23.8407
44.81 45.0229 23.7722
45.01 44.9637 23.7055
45.21 44.9054 23.6411
45.41 44.8494 23.5809
45.61 44.8129 23.5698
45.81 44.7274 23.4251
46.01 44.6765 23.3695
46.21 44.6236 23.307
46.41 44.5704 23.2428
46.61 44.5167 23.1779
46.81 44.4623 23.1127
47.01 44.4074 23.0476
47.21 44.3518 22.9828
47.41 44.2959 22.9186
47.61 44.2397 22.8551
47.81 44.1835 22.7923
48.01 44.1275 22.7301
48.21 44.0731 22.6708
48.41 44.0186 22.6091
48.61 43.9642 22.5476
48.81 43.9097 22.4863
49.01 43.8551 22.4252
49.21 43.8003 22.3643
49.41 43.7451 22.3038
49.61 43.6897 22.2436
49.81 43.6338 22.1837

