# bin=100 r=1000 t=8  
# energy = 0.0931838 0.231584
46.01 47.2991 11.9279
46.21 47.2283 11.8941
46.41 47.1569 11.8594
46.61 47.0851 11.8243
46.81 47.0127 11.7892
47.01 46.9397 11.7542
47.21 46.8662 11.7194
47.41 46.7925 11.685
47.61 46.7187 11.651
47.81 46.6449 11.6173
48.01 46.5715 11.584
48.21 46.5001 11.5521
48.41 46.4285 11.5191
48.61 46.357 11.4862
48.81 46.2854 11.4534
49.01 46.2138 11.4207
49.21 46.1421 11.3882
49.41 46.0702 11.3559
49.61 45.9981 11.3239
49.81 45.9256 11.292
