# bin=100 r=1000 t=7  
#energy -1.34307 2.67565
46.21 54.8191 11.6437
46.41 54.723 11.616
46.61 54.6263 11.588
46.81 54.5291 11.5599
47.01 54.4314 11.5319
47.21 54.3335 11.5042
47.41 54.2355 11.4768
47.61 54.1378 11.4498
47.81 54.0405 11.4231
48.01 53.9437 11.3968
48.21 53.8498 11.3716
48.41 53.7551 11.3454
48.61 53.6605 11.3192
48.81 53.5661 11.2931
49.01 53.4717 11.2672
49.21 53.3774 11.2414
49.41 53.2832 11.2159
49.61 53.1888 11.1905
49.81 53.0943 11.1653
