# bin=100 r=1000 t=8  
# energy = -0.142119 2.34437
45.81 46.9966 19.2702
46.01 46.9306 19.2221
46.21 46.8622 19.1687
46.41 46.7933 19.1139
46.61 46.7239 19.0587
46.81 46.6539 19.0033
47.01 46.5834 18.948
47.21 46.5124 18.8932
47.41 46.4411 18.8389
47.61 46.3697 18.7851
47.81 46.2983 18.732
48.01 46.2273 18.6794
48.21 46.1581 18.629
48.41 46.0889 18.5768
48.61 46.0196 18.5247
48.81 45.9504 18.4728
49.01 45.8811 18.4211
49.21 45.8117 18.3697
49.41 45.7421 18.3185
49.61 45.6723 18.2678
49.81 45.602 18.2173
