0.01	4.083892182208676e-13
0.02	4.619442902756735e-12
0.03	1.909059043154711e-11
0.04	5.22414578828226e-11
0.05	1.1405404243071725e-10
0.060000000000000005	2.1585165961967844e-10
0.06999999999999999	3.7015149145417863e-10
0.08	5.905567872298232e-10
0.09	8.916734598141314e-10
0.09999999999999999	1.2890429951021497e-9
0.11	1.7990869218582188e-9
0.12	2.4390598339163903e-9
0.13	3.2270089534130693e-9
0.14	4.181738831330899e-9
0.15000000000000002	5.3227801714030876e-9
0.16	6.670362023965476e-9
0.17	8.245386776520446e-9
0.18000000000000002	1.0069407495993483e-8
0.19	1.216460727115736e-8
0.2	1.4553780273326465e-8
0.21000000000000002	1.7260314306240005e-8
0.22	2.030817465678056e-8
0.23	2.3721889090014807e-8
0.24000000000000002	2.7526533857281403e-8
0.25	3.174772060628982e-8
0.26	3.641158409854727e-8
0.27	4.15447706528677e-8
0.28	4.717442724471577e-8
0.29000000000000004	5.3328191200393395e-8
0.3	6.003418043269181e-8
0.31	6.732098417120293e-8
0.32	7.521765414592094e-8
0.33	8.375369618751846e-8
0.34	9.295906221168046e-8
0.35000000000000003	1.0286414255836805e-7
0.36000000000000004	1.1349975865991703e-7
0.37	1.248971560144684e-7
0.38	1.3708799744357313e-7
0.39	1.5010435661474067e-7
0.4	1.639787118115575e-7
0.41000000000000003	1.7874393993558973e-7
0.42000000000000004	1.9443331072550452e-7
0.43	2.1108048118034306e-7
0.44	2.2871949017470076e-7
0.45	2.4738475325484904e-7
0.46	2.671110576053959e-7
0.47000000000000003	2.8793355717724725e-7
0.48000000000000004	3.098877679679575e-7
0.49	3.3300956344657053e-7
0.5	3.573351701153818e-7
0.51	3.8290116320163223e-7
0.52	4.0974446247294127e-7
0.53	4.3790232817003313e-7
0.54	4.674123570515999e-7
0.55	4.983124785457326e-7
0.56	5.306409510032171e-7
0.5700000000000001	5.644363580479881e-7
0.5800000000000001	5.997376050205459e-7
0.59	6.365839155102383e-7
0.6	6.750148279725396e-7
0.61	7.150701924280404e-7
0.62	7.567901672393497e-7
0.63	8.002152159632327e-7
0.64	8.453861042745619e-7
0.65	8.923438969594684e-7
0.66	9.411299549751621e-7
0.67	9.917859325734534e-7
0.68	1.0443537744862752e-6
0.6900000000000001	1.0988757131699765e-6
0.7000000000000001	1.1553942661073525e-6
0.7100000000000001	1.2139522331644387e-6
0.72	1.2745926940005559e-6
0.73	1.3373590055297998e-6
0.74	1.4022947994320567e-6
0.75	1.4694439797119401e-6
0.76	1.538850720304088e-6
0.77	1.6105594627230741e-6
0.78	1.6846149137569676e-6
0.79	1.761062043202755e-6
0.8	1.8399460816421686e-6
0.81	1.9213125182572685e-6
0.8200000000000001	2.0052070986840443e-6
0.8300000000000001	2.091675822902833e-6
0.8400000000000001	2.180764943165076e-6
0.85	2.2725209619545773e-6
0.86	2.3669906299826312e-6
0.87	2.464220944216165e-6
0.88	2.5642591459377575e-6
0.89	2.66715271883646e-6
0.9	2.7729493871291063e-6
0.91	2.8816971137106525e-6
0.92	2.9934440983334384e-6
0.93	3.1082387758136182e-6
0.9400000000000001	3.2261298142652287e-6
0.9500000000000001	3.347166113360204e-6
0.9600000000000001	3.4713968026140684e-6
0.97	3.598871239696622e-6
0.98	3.72963900876728e-6
0.99	3.8637499188334745e-6
1.	4.001254002132933e-6
1.01	4.14220151253756e-6
1.02	4.286642923980745e-6
1.03	4.434628928904574e-6
1.04	4.5862104367293e-6
1.05	4.741438572342263e-6
1.06	4.9003646746079555e-6
1.07	5.063040294896138e-6
1.08	5.22951719563048e-6
1.09	5.399847348854985e-6
1.1	5.574082934818793e-6
1.11	5.752276340578934e-6
1.12	5.934480158620658e-6
1.1300000000000001	6.120747185494078e-6
1.1400000000000001	6.3111304204689634e-6
1.1500000000000001	6.505683064203544e-6
1.1600000000000001	6.704458517432149e-6
1.17	6.9075103796656925e-6
1.18	7.1148924479093785e-6
1.19	7.3266587153946555e-6
1.2	7.542863370326169e-6
1.21	7.763560794642264e-6
1.22	7.988805562790751e-6
1.23	8.21865244051802e-6
1.24	8.453156383670906e-6
1.25	8.692372537012963e-6
1.26	8.936356233053436e-6
1.27	9.185162990888267e-6
1.28	9.438848515055166e-6
1.29	9.697468694399139e-6
1.3	9.961079600950778e-6
1.31	0.00001022973748881721
1.32	0.000010503498793083589
1.33	0.00001078242012872636
1.34	0.000011066558289536909
1.35	0.000011355970247058664
1.36	0.00001165071314953121
1.37	0.000011950844320848792
1.3800000000000001	0.00001225642125952572
1.3900000000000001	0.000012567501637675296
1.4000000000000001	0.000012884143299995917
1.4100000000000001	0.000013206404262769121
1.42	0.00001353434271286603
1.43	0.00001386801700676459
1.44	0.00001420748566957395
1.45	0.000014552807394070683
1.46	0.00001490404103974189
1.47	0.00001526124563183937
1.48	0.000015624480360440686
1.49	0.000015993804579519353
1.5	0.00001636927780602336
1.51	0.00001675095971896325
1.52	0.000017138910158507217
1.53	0.000017533189125083873
1.54	0.000017933856778493675
1.55	0.000018340973437029772
1.56	0.000018754599576602035
1.57	0.000019174795829873918
1.58	0.000019601622985404767
1.59	0.000020035141986794952
1.6	0.00002047541393184858
1.61	0.000020922500071732332
1.62	0.00002137646181014767
1.6300000000000001	0.000021837360702509386
1.6400000000000001	0.000022305258455128593
1.6500000000000001	0.000022780216924404992
1.6600000000000001	0.00002326229811602334
1.6700000000000002	0.00002375156418415972
1.68	0.000024248077430688962
1.69	0.000024751900304407767
1.7	0.000025263095400249327
1.71	0.000025781725458520343
1.72	0.000026307853364133288
1.73	0.000026841542145849064
